OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,214826,260244,177779,146264,103051
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187009,231921,158744,129377,84015
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,216588,303800,197081,158510,108781
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-07-01T00:00:00,2020-07-31T23:59:59,Month,2020-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,174941,230261,149654,121550,93519
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,186670,244788,165760,134423,98779
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,153321,210334,132057,105797,79179
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,176477,218011,150473,119228,86616
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,161723,260120,175630,134672,106100
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,209511,254042,173197,142572,99807
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188057,233107,159669,130310,84326
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,221101,310534,201144,161723,110303
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,172111,226563,147070,119720,91641
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185843,244068,164999,133400,98417
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,154506,212033,132967,106619,80033
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,175908,217332,149879,118828,86667
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156576,251950,169887,130279,103383
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,204939,248650,169265,139322,97826
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,189731,235095,161191,131414,85297
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,223598,314183,203380,163377,111816
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,171816,226277,146692,119474,91817
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185928,244374,164827,133476,98553
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,153703,210977,132148,106119,79926
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,178172,220249,151641,120389,87705
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156427,251369,169592,130307,103296
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,205193,248974,169316,139664,98161
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188463,233784,159841,130500,84714
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-06-02T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,223172,313823,202602,163240,111683
